,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,Fence,MiscFeature,SaleType,SaleCondition,GarageAge,SinceYearSold,HouseAge,TotalHouseSF,TotalPorchSF
66,20,RL,70.01929530201342,19900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,Unf,1035,GasA,TA,Y,SBrkr,0,1,0,2,0,3,1,TA,7,Min1,1,Gd,Attchd,RFn,2,576,TA,TA,Y,0,NA,NA,WD,Normal,54.0,14,54,6361,301
997,20,RL,70.01929530201342,11717,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,1Story,6,6,1970,Hip,CompShg,HdBoard,HdBoard,BrkFace,571.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1442,GasA,TA,Y,SBrkr,0,0,0,2,0,2,1,TA,6,Typ,1,TA,Attchd,RFn,2,615,TA,TA,Y,0,NA,NA,WD,Normal,54.0,15,54,4326,371
582,90,RL,81.0,11841,Grvl,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,6,5,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,104.0,TA,Gd,CBlock,Gd,TA,Av,GLQ,816,Unf,0,GasA,TA,Y,SBrkr,0,1,0,1,0,3,1,TA,5,Typ,0,NA,NA,NA,0,0,NA,NA,Y,0,NA,NA,WD,Normal,-1.0,17,34,2448,32
937,60,RL,75.0,9675,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,341,Unf,772,GasA,Ex,Y,SBrkr,858,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,689,TA,TA,Y,0,NA,NA,WD,Normal,19.0,15,19,4197,48
211,20,RL,83.0,10420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,36,Unf,1176,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,460,TA,TA,Y,0,NA,NA,WD,Normal,15.0,14,15,3636,122
978,20,RL,68.0,9450,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,4,5,1954,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,No,LwQ,552,Unf,342,GasA,Ex,Y,SBrkr,0,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,2,400,TA,TA,Y,0,NA,NA,WD,Abnorml,25.0,17,70,2682,0
741,20,RL,65.0,6768,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,6,8,1996,Hip,CompShg,HdBoard,HdBoard,NA,0.0,TA,Gd,CBlock,TA,TA,Mn,GLQ,832,Unf,80,GasA,Gd,Y,SBrkr,0,1,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,1,288,TA,TA,Y,0,GdPrv,NA,WD,Normal,62.0,16,63,2736,168
539,20,RL,70.01929530201342,11423,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,479.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1358,Unf,223,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,670,TA,TA,Y,0,MnPrv,Shed,WD,Normal,23.0,14,23,4783,180
745,60,RL,70.01929530201342,8963,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,9,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,289.0,Ex,Gd,CBlock,TA,Gd,No,GLQ,575,ALQ,487,GasA,Ex,Y,SBrkr,1540,0,1,3,1,4,1,Gd,11,Typ,2,TA,BuiltIn,Fin,2,831,TA,TA,Y,0,NA,NA,WD,Normal,30.0,16,48,5032,204
629,80,RL,82.0,9020,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,SLvl,6,5,1964,Gable,WdShngl,Plywood,Wd Sdng,BrkFace,259.0,TA,TA,CBlock,TA,TA,Gd,GLQ,624,Rec,288,GasA,TA,Y,SBrkr,0,1,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,RFn,2,520,TA,TA,Y,0,GdPrv,NA,WD,Normal,60.0,16,60,3948,176
85,60,RL,121.0,16059,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,Hip,CompShg,HdBoard,HdBoard,BrkFace,284.0,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,1288,GasA,Ex,Y,SBrkr,1116,0,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,Unf,2,462,TA,TA,Y,0,NA,NA,WD,Normal,33.0,18,33,5006,209
1315,60,RL,85.0,11075,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,5,1969,Gable,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,Fa,TA,Mn,ALQ,500,LwQ,176,GasA,TA,Y,SBrkr,1020,0,0,2,1,4,1,TA,9,Typ,2,Gd,Attchd,Unf,2,576,TA,TA,Y,0,NA,NA,WD,Normal,55.0,16,55,4156,280
970,50,RL,60.0,10800,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,4,1950,Gable,CompShg,AsbShng,AsbShng,NA,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,720,GasA,TA,N,FuseA,472,0,0,1,1,4,1,TA,6,Typ,0,NA,NA,NA,0,0,NA,NA,Y,0,NA,NA,WD,Abnorml,-1.0,18,75,2632,0
868,60,RL,70.01929530201342,14762,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Feedr,Norm,1Fam,2Story,5,6,1950,Gable,CompShg,Plywood,Plywood,NA,0.0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,GasA,Gd,Y,SBrkr,720,0,0,2,0,2,1,TA,7,Typ,1,TA,Attchd,Unf,2,672,TA,TA,P,0,NA,NA,WD,Normal,45.0,18,76,3867,264
1007,160,RM,21.0,2217,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,4,1970,Gable,CompShg,CemntBd,CmentBd,NA,0.0,TA,TA,CBlock,TA,TA,No,BLQ,273,LwQ,0,GasA,TA,Y,SBrkr,546,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,RFn,1,286,TA,TA,Y,0,NA,NA,WD,Normal,54.0,15,54,2184,238
1316,20,RL,61.0,10226,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,270.0,Gd,TA,PConc,Ex,TA,Gd,Unf,0,Unf,1622,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,RFn,3,860,TA,TA,Y,0,NA,NA,WD,Normal,16.0,15,16,4882,214
993,60,RL,68.0,8846,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2006,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,750,GasA,Ex,Y,SBrkr,750,0,0,2,1,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,564,TA,TA,Y,0,NA,NA,New,Partial,19.0,18,19,3000,35
1364,160,FV,30.0,3180,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2005,Gable,CompShg,MetalSd,MetalSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,600,GasA,Ex,Y,SBrkr,600,0,0,2,1,2,1,Gd,4,Typ,0,NA,Detchd,RFn,2,480,TA,TA,Y,0,NA,NA,WD,Abnorml,19.0,18,19,2320,166
944,20,RL,70.01929530201342,14375,Pave,NA,IR1,Lvl,NoSeWa,CulDSac,Gtl,Timber,Norm,Norm,1Fam,SLvl,6,6,1958,Gable,CompShg,HdBoard,HdBoard,BrkFace,541.0,TA,TA,CBlock,TA,TA,No,GLQ,111,Rec,354,GasA,Gd,Y,FuseA,0,0,1,1,0,3,1,Gd,7,Typ,1,Gd,Basment,RFn,2,525,TA,TA,Y,0,NA,NA,COD,Abnorml,66.0,15,66,3507,351
274,20,RL,76.0,8314,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,Gable,CompShg,HdBoard,ImStucc,NA,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,546,Unf,270,GasA,TA,Y,SBrkr,0,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,Unf,1,264,TA,TA,Y,0,NA,NA,WD,Normal,42.0,17,42,2448,168
686,60,FV,84.0,10207,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,6,2007,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,874,GasA,Ex,Y,SBrkr,887,0,0,3,0,3,1,Gd,7,Typ,0,NA,Attchd,Fin,2,578,TA,TA,Y,0,NA,NA,New,Partial,17.0,17,17,3509,249
364,60,RL,70.01929530201342,18800,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,PConc,Gd,TA,Mn,GLQ,712,Unf,84,GasA,TA,Y,SBrkr,784,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,566,TA,TA,Y,0,NA,NA,WD,Normal,48.0,18,48,3160,417
2,60,RL,68.0,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,434,GasA,Ex,Y,SBrkr,866,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,0,NA,NA,WD,Normal,23.0,16,23,3626,42
6,20,RL,75.0,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,317,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,636,TA,TA,Y,0,NA,NA,WD,Normal,20.0,17,20,5074,312
312,190,RM,65.0,7800,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,2fmCon,1.5Fin,5,7,1950,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,Gd,TA,Mn,Rec,507,Unf,286,GasA,TA,Y,SBrkr,325,1,0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,Unf,2,410,TA,TA,Y,0,MnPrv,NA,WD,Normal,85.0,18,85,2704,271
1209,20,RL,85.0,10182,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,RRNn,Norm,1Fam,1Story,8,5,2006,Hip,CompShg,VinylSd,VinylSd,Stone,420.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,1220,Unf,440,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,500,TA,TA,Y,0,NA,NA,New,Partial,18.0,18,18,4980,372
890,50,RL,60.0,8064,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,2006,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0,Unf,672,GasA,Ex,Y,SBrkr,252,0,0,1,0,3,1,TA,6,Typ,1,Po,Detchd,Unf,2,576,TA,TA,Y,0,MnPrv,Shed,WD,Normal,21.0,17,75,2268,0
1440,70,RL,79.0,11526,Pave,NA,IR1,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2.5Fin,6,7,1994,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,Ex,TA,No,Unf,0,Unf,588,GasA,Fa,Y,SBrkr,748,0,0,2,0,3,1,TA,11,Min1,1,Gd,Detchd,Fin,2,672,TA,TA,Y,0,NA,NA,WD,Normal,31.0,16,102,4566,431
215,20,RL,72.0,10011,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,TA,TA,CBlock,TA,TA,No,BLQ,360,Unf,710,GasA,TA,Y,SBrkr,0,0,1,1,0,2,1,Gd,6,Min1,1,Fa,Attchd,Unf,1,447,TA,TA,Y,0,MnPrv,NA,WD,Normal,67.0,18,67,3542,0
1366,60,RL,68.0,9179,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,158.0,Gd,TA,PConc,Gd,TA,No,GLQ,633,Unf,240,GasA,Ex,Y,SBrkr,908,1,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2,588,TA,TA,Y,0,NA,NA,WD,Abnorml,25.0,16,25,3545,88
27,20,RL,98.0,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,486,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,TA,Y,0,NA,NA,WD,Normal,16.0,14,17,5112,50
1056,120,RL,43.0,7052,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,Stone,240.0,Gd,TA,PConc,Gd,TA,Av,GLQ,659,Unf,705,GasA,Ex,Y,SBrkr,0,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,484,TA,TA,Y,0,NA,NA,WD,Normal,19.0,18,19,4092,228
820,60,RL,72.0,7226,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,798,GasA,Ex,Y,SBrkr,842,0,0,2,1,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,595,TA,TA,Y,0,NA,NA,WD,Normal,21.0,16,21,3236,45
1234,70,RH,55.0,8525,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,2Story,5,6,1950,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,PConc,TA,TA,Av,Unf,0,Unf,940,GasA,TA,N,FuseA,940,0,0,1,1,4,1,TA,7,Typ,0,NA,NA,NA,0,0,NA,NA,N,0,NA,NA,WD,Abnorml,-1.0,16,113,3928,192
1293,60,RL,78.0,10140,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1976,Gable,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,PConc,Gd,TA,No,GLQ,194,Unf,638,GasA,TA,Y,SBrkr,832,0,0,2,1,4,1,TA,8,Typ,1,TA,Attchd,RFn,2,528,TA,TA,Y,0,GdWo,NA,WD,Normal,48.0,18,48,3328,287
1406,85,RL,70.0,8445,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,7,2007,Gable,CompShg,HdBoard,Wd Shng,NA,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,656,Unf,112,GasA,TA,Y,SBrkr,0,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,396,TA,TA,Y,0,MnPrv,NA,WD,Normal,36.0,15,52,2304,58
627,80,RL,80.0,9600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,6,1972,Gable,CompShg,AsbShng,AsbShng,BrkFace,164.0,TA,TA,CBlock,TA,TA,Av,BLQ,674,LwQ,350,GasA,Ex,Y,SBrkr,0,1,0,1,0,3,1,TA,7,Typ,2,Gd,Basment,RFn,1,364,TA,TA,Y,0,NA,NA,WD,Normal,69.0,14,69,4196,189
803,60,RL,107.0,13891,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,Hip,CompShg,VinylSd,VinylSd,Stone,424.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,1734,GasA,Ex,Y,SBrkr,1088,0,0,3,1,4,1,Ex,12,Typ,1,Gd,BuiltIn,RFn,3,1020,TA,TA,Y,0,NA,NA,New,Partial,15.0,15,16,6290,414
257,20,RL,68.0,8814,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1334,Unf,270,GasA,Ex,Y,SBrkr,0,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,660,TA,TA,Y,0,NA,NA,WD,Abnorml,18.0,15,18,4812,233
25,20,RL,110.0,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1566,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,TA,Y,0,NA,NA,WD,Normal,17.0,15,17,4766,56
338,20,RL,91.0,14145,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,1998,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,Gd,TA,CBlock,Gd,TA,Mn,ALQ,213,Unf,995,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,RFn,2,440,TA,TA,Y,0,NA,Shed,WD,Normal,40.0,18,40,4450,153
575,50,RL,80.0,8480,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,5,1950,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,442,Unf,390,GasA,TA,Y,SBrkr,384,0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,Unf,1,336,TA,TA,Y,0,NA,NA,COD,Abnorml,77.0,16,77,2880,260
47,20,FV,84.0,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,1632,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,3,826,TA,TA,Y,0,NA,NA,WD,Normal,18.0,17,18,4968,146
106,30,RM,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1995,Mansard,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,641,GasA,Gd,Y,SBrkr,0,0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,Unf,1,273,Fa,Fa,N,0,NA,Shed,WD,Normal,70.0,17,139,2735,0
351,120,RL,70.01929530201342,5271,Pave,NA,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1986,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,1082,Unf,371,GasA,Gd,Y,SBrkr,0,1,0,1,1,2,1,Gd,6,Typ,1,TA,Attchd,RFn,2,445,TA,TA,Y,0,NA,NA,WD,Abnorml,38.0,18,38,4359,264
55,20,RL,100.0,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,935,GasA,Gd,Y,SBrkr,0,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,0,NA,NA,WD,Normal,60.0,16,60,4275,407
1048,20,RL,100.0,21750,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,4,2006,Hip,CompShg,HdBoard,HdBoard,BrkFace,75.0,TA,Fa,Slab,NA,NA,NA,NA,0,NA,0,GasA,TA,Y,SBrkr,0,0,0,1,0,3,1,TA,9,Min1,1,TA,Attchd,Unf,2,336,TA,TA,Y,0,GdPrv,NA,WD,Normal,64.0,15,64,3542,0
213,20,RL,43.0,13568,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,No,ALQ,716,Unf,274,GasA,Ex,Y,SBrkr,0,0,1,1,0,3,1,TA,5,Typ,0,NA,Attchd,Unf,2,576,TA,TA,Y,0,NA,NA,WD,Normal,28.0,18,29,2970,224
120,80,RL,70.01929530201342,21453,Pave,NA,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,Flat,Metal,Plywood,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,938,Unf,0,GasA,Ex,Y,SBrkr,0,1,0,1,0,1,1,TA,4,Typ,2,TA,Attchd,Unf,2,540,TA,TA,Y,0,NA,NA,WD,Normal,55.0,18,55,2914,260
823,50,RL,60.0,9900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,7,1950,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,778,GasA,TA,Y,SBrkr,545,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,Unf,1,240,TA,TA,Y,0,GdWo,NA,WD,Normal,84.0,15,84,3211,335
699,120,FV,59.0,4282,Pave,Pave,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,Gable,CompShg,MetalSd,MetalSd,NA,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,16,Unf,1375,GasA,Ex,Y,SBrkr,0,0,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,RFn,2,530,TA,TA,Y,0,NA,NA,WD,Normal,20.0,16,20,4173,314
72,60,RL,74.0,10141,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,832,GasA,Gd,Y,SBrkr,833,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,Fin,2,427,TA,TA,Y,0,NA,NA,WD,Normal,26.0,15,26,3435,385
1441,120,RM,70.01929530201342,4426,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,147.0,Gd,TA,PConc,Gd,TA,Av,GLQ,697,Unf,151,GasA,Ex,Y,SBrkr,0,1,0,1,0,1,1,Gd,3,Typ,1,TA,Attchd,RFn,2,420,TA,TA,Y,0,NA,NA,WD,Normal,20.0,16,20,2544,149
684,60,RL,58.0,16770,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,30.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1195,GasA,Gd,Y,SBrkr,644,0,0,2,1,4,1,TA,7,Typ,0,NA,Attchd,Fin,2,486,TA,TA,Y,0,NA,NA,WD,Normal,26.0,14,26,4229,81
45,120,RL,61.0,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,1296,GasA,Ex,Y,SBrkr,0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,0,NA,NA,WD,Normal,19.0,14,19,5256,278
1229,80,RL,70.0,7910,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,5,1960,Hip,CompShg,BrkFace,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,666,Unf,409,GasA,Gd,Y,SBrkr,0,0,0,2,0,4,1,TA,7,Maj1,0,NA,Basment,Unf,1,404,TA,TA,Y,0,GdWo,NA,WD,Normal,64.0,16,64,4089,0
525,20,FV,62.0,7500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1257,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,2,453,TA,TA,Y,0,NA,NA,WD,Normal,19.0,18,19,3789,182
